77,161,2
75,209,3
65,146,2
62,261,4
61,203,4
72,257,4
58,145,4
61,280,4
60,124,2
59,241,4
78,100,1
75,243,4
73,214,3
68,202,4
64,236,4
75,153,2
59,148,3
62,223,4
74,297,4
63,207,4
62,258,4
73,125,1
59,129,3
67,227,4
69,190,3
78,185,2
66,203,4
62,92,1
71,175,2
72,154,2
65,127,2
72,216,3
59,148,3
58,198,4
73,94,1
66,118,2
68,290,4
74,289,4
78,266,4
78,271,4
66,80,1
58,200,4
62,176,4
60,110,2
58,117,2
68,113,1
75,284,4
65,233,4
69,79,1
58,169,4
71,266,4
70,263,4
76,191,2
75,274,4
68,244,4
67,263,4
72,141,2
69,86,1
76,284,4
59,293,4
64,169,3
60,84,1
71,211,3
62,79,1
65,84,1
67,188,3
63,75,1
68,89,1
71,201,3
58,101,2
74,296,4
77,151,1
62,190,4
58,71,1
66,234,4
77,94,1
71,85,1
77,122,1
71,138,2
73,277,4
71,91,1
76,298,4
71,277,4
62,121,2
73,276,4
72,243,4
62,193,4
76,117,1
58,295,4
69,118,1
